Symbol,Security,Sector,Market Cap,Price,Book Value,Earnings/Share,EBITDA,Price/Sales,52 week low,52 week high,Sub Industry,Address of Headquarters
STX,Seagate Technology,Information Technology,4.4,63.25,32.06,6.68,0.9051,0.67,62.1,125.45,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"
SEE,Sealed Air,Materials,55.5,177.29,13.63,5.87,4,10.3,173.11,229.1,Paper Packaging,"Elmwood Park, New Jersey"
SRE,Sempra Energy,Utilities,17.58,95.05,19.81,4.73,1.37,5.39,57.11,97.57,Multi-Utilities,"San Diego, California"
SHW,Sherwin-Williams,Materials,11.28,112.12,70.63,2.34,0.9825900000000001,6.37,91.03,120.63,Specialty Chemicals,"Cleveland, Ohio"
SIG,Signet Jewelers,Consumer Discretionary,9.77,168.46,45.16,9.2,0.9267000000000001,2.64,145.17,181.73,Specialty Stores,"Hamilton, Bermuda"
SPG,Simon Property Group Inc,Real Estate,49.95,50.4,25,2.55,7.63,2.5,46.2,54.64,Retail REITs,"Indianapolis, Indiana"
SWKS,Skyworks Solutions,Information Technology,34.96,56.83,13.72,3.55,5.27,1.73,35.42,59.68,Semiconductors,"Woburn, Massachusetts"
SLG,SL Green Realty,Real Estate,3.74,7.61,1.86,-6.32,0.301,1.6,6.62,15.59,Office REITs,"New York, New York"
SNA,Snap-On Inc.,Consumer Discretionary,19.52,127.91,41.73,6.51,1.88,1.72,97.47,130.47,Household Appliances,"Kenosha, Wisconsin"
SO,Southern Co.,Utilities,5.71,8.78,7.14,-0.71,1.36,0.28,7.24,11.37,Electric Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,Industrials,81.91,56.2,3.98,1.95,4.95,3.81,50.84,61.64,Airlines,"Dallas, Texas"
SPGI,"S&P Global, Inc.",Financials,30.4,79.6,47.19,4.97,0,2.98,50.6,83.49,Financial Exchanges & Data,"New York, New York"
SWK,Stanley Black & Decker,Consumer Discretionary,6.91,80.86,32.83,2.08,0.8185399999999999,1.91,71.52,128.94,Household Appliances,"New Britain, Connecticut"
SPLS,Staples Inc.,Consumer Discretionary,48.15,129.14,25.47,4.35,3.11,4.27,102.31,131.36,Specialty Stores,"Framingham, Massachusetts"
SBUX,Starbucks Corp.,Consumer Discretionary,29.33,59.72,45.38,3.6,0,3.59,34.79,61.69,Restaurants,"Seattle, Washington"
STT,State Street Corp.,Financials,18.13,29.29,6.38,3.32,0.875,4.77,16.14,29.47,Asset Management & Custody Banks,"Boston, Massachusetts"
SRCL,Stericycle Inc,Industrials,28.86,35.6,17.37,2.71,0,4.13,23.25,38.06,Environmental & Facilities Services,"Lake Forest, Illinois"
SYK,Stryker Corp.,Health Care,28.25,52.3,4.58,1.83,3,0.53,44.71,57.07,Health Care Equipment,"Kalamazoo, Michigan"
STI,SunTrust Banks,Financials,17.26,70.9,20.46,4.75,1.93,4.1,62.97,79,Regional Banks,"Atlanta, Georgia"
SYMC,Symantec Corp.,Information Technology,30.67,55.14,19.69,4.7,7.27,0.45,55.05,84.14,Application Software,"Mountain View, California"
SYF,Synchrony Financial,Financials,26.42,74.36,24.86,5.72,2.63,2.11,54.54,76.49,Consumer Finance,"Stamford, Connecticut"
SNPS,Synopsys Inc.,Information Technology,5.54,25.82,10.59,1.99,1.21,1.67,17.91,26.65,Application Software,"Mountain View, California"
SYY,Sysco Corp.,Consumer Staples,4.06,31.09,7.43,0.95,0.38,1.76,24.21,33.32,Food Distributors,"Houston, Texas"
TROW,T. Rowe Price Group,Financials,9.75,83.46,46.79,6.12,2.09,0.41,69.49,93.5,Asset Management & Custody Banks,"Baltimore, Maryland"
TGT,Target Corp.,Consumer Discretionary,79.09,79.12,10.52,3.48,5.7,5.86,54.54,80.37,General Merchandise Stores,"Minneapolis, Minnesota"
TEL,TE Connectivity Ltd.,Information Technology,12.92,47.85,20.62,3.53,1.59,0.94,32.55,50.93,Electronic Manufacturing Services,"Schaffhausen, Switzerland"
FTI,TechnipFMC,Energy,49.46,47.67,33.67,3.15,0,3.26,35.44,49.54,Oil & Gas Equipment & Services,"London, United Kingdom"
TGNA,"Tegna, Inc.",Consumer Discretionary,17.56,136.91,2.11,4.99,1.22,2.99,111.24,140.47,Publishing,"McLean, Virginia"
TDC,Teradata Corp.,Information Technology,9.56,193.46,57.07,6.07,0.6285700000000001,4.77,141.67,201.83,Application Software,"Miamisburg, Ohio"
TSO,Tesoro Petroleum Co.,Energy,22.97,108.15,3.7,3.34,1.62,3.1,87.92,117.79,Oil & Gas Refining & Marketing,"San Antonio, Texas"
TXN,Texas Instruments,Information Technology,10.22,29.18,27.37,0.85,1.2,1.45,22.77,34.36,Semiconductors,"Dallas, Texas"
TXT,Textron Inc.,Industrials,34.16,122.14,83.05,10.28,5.12,1.24,103.45,125.49,Aerospace & Defense,"Providence, Rhode Island"
TMO,Thermo Fisher Scientific,Health Care,175.3,110.86,27.01,5.54,16.78,3.17,90.32,111.99,Health Care Equipment,"Waltham, Massachusetts"
TIF,Tiffany & Co.,Consumer Discretionary,61.39,157.26,54.74,5.09,4.53,3.37,136.58,160.89,"Apparel, Accessories & Luxury Goods","New York, New York"
TWX,Time Warner Inc.,Consumer Discretionary,11.05,88.76,23.37,3.57,0.9348,2.81,56.99,92.74,Cable & Satellite,"New York, New York"
TJX,TJX Companies Inc.,Consumer Discretionary,76.07,98.24,31.52,4.95,8.57,2.59,67.85,99.29,Apparel Retail,"Framingham, Massachusetts"
TMK,Torchmark Corp.,Financials,51.47,78.3,6.86,3.46,4.51,1.56,71.5,83.64,Life & Health Insurance,"McKinney, Texas"
TSS,Total System Services,Information Technology,9.19,78.03,38.69,4.49,0.86538,2.33,52.19,79.05,Internet Software & Services,"Columbus, Georgia"
TSCO,Tractor Supply Company,Consumer Discretionary,9.95,54.26,11.45,1.73,0.85436,2.38,43.67,56.54,Specialty Stores,"Brentwood, Tennessee"
TDG,TransDigm Group,Industrials,9.34,71.43,11.11,3.27,0.83984,1.38,61.5,97.25,Aerospace & Defense,"Cleveland, Ohio"
RIG,Transocean,Energy,12.82,242.56,-35.1,8.56,1.51,3.98,214.65,294.38,Oil & Gas Drilling,"Vernier, Switzerland"
TRV,The Travelers Companies Inc.,Financials,4.67,12.78,41.27,2.1,1.69,1.27,8.34,16.66,Property & Casualty Insurance,"New York, New York"
TRIP,TripAdvisor,Consumer Discretionary,5.96,41.31,10.42,0.82,0.215,4.05,40.45,71.69,Internet & Direct Marketing Retail,"Newton, Massachusetts"
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,56.49,30.52,7.75,1.64,6.95,2.02,23.33,31.75,Publishing,"New York, New York"
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,55.73,30.11,7.75,1.64,6.95,1.99,23.88,31.3,Publishing,"New York, New York"
TSN,Tyson Foods,Consumer Staples,22.72,61.89,26.01,4.96,3.78,0.62,55.72,77.05,Packaged Foods & Meats,"Springdale, Arkansas"
UDR,UDR Inc,Real Estate,93.22,55.03,24.63,3.24,0,4.84,38.47,56.61,Residential REITs,"Highlands Ranch, Colorado"
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,9.69,36.23,11.4,1.08,0.60553,10.02,32.79,38.61,Specialty Stores,"Bolingbrook, Illinois"
USB,U.S. Bancorp,Financials,16.8,269.92,23.3,5.97,0.7970900000000001,3.78,158.21,281.17,Diversified Banks,"Minneapolis, Minnesota"
UA,Under Armour Class C,Consumer Discretionary,7.94,18.11,4.63,0.44,0.56224,1.66,17.77,46.2,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
UAA,Under Armour Class A,Consumer Discretionary,8.63,19.69,4.63,0.44,0.56224,1.82,19.26,47.94,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
UNP,Union Pacific,Industrials,88.18,108.36,24.43,5.07,9.31,4.47,77.29,111.38,Railroads,"Omaha, Nebraska"
UAL,United Continental Holdings,Industrials,22.85,72.64,27.52,6.85,6.85,0.63,37.41,76.8,Airlines,"Chicago, Illinois"
UNH,United Health Group Inc.,Health Care,160.08,168.3,40.2,7.25,14.51,0.87,120.41,169.36,Managed Health Care,"Minnetonka, Minnesota"
UPS,United Parcel Service,Industrials,91.91,105.64,0.47,3.87,7.7,1.52,98.85,120.44,Air Freight & Logistics,"Atlanta, Georgia"
URI,"United Rentals, Inc.",Industrials,10.8,128.15,19.57,6.45,1.72,1.9,55.69,134.28,Trading Companies & Distributors,"Stamford, Connecticut"
UTX,United Technologies,Industrials,90.48,112.28,34.1,6.12,10.04,1.57,95.05,114.44,Aerospace & Defense,"Hartford, Connecticut"
UHS,"Universal Health Services, Inc.",Health Care,11.95,123.75,46.91,7.14,1.7,1.25,99.72,139.77,Health Care Facilities,"King of Prussia, Pennsylvania"
UNM,Unum Group,Financials,11.17,48.71,39.02,3.95,1.62,1.01,29.79,50.27,Life & Health Insurance,"Chattanooga, Tennessee"
VFC,V.F. Corp.,Consumer Discretionary,2.95,25.41,10.73,1.92,0.49769,0.85,24.29,40.8,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina"
VLO,Valero Energy,Energy,21.79,52.62,11.93,2.55,1.93,1.83,48.05,66.91,Oil & Gas Refining & Marketing,"San Antonio, Texas"
VAR,Varian Medical Systems,Health Care,29.6,65.62,44.35,4.93,5.52,0.43,46.88,71.4,Health Care Equipment,"Palo Alto, California"
VTR,Ventas Inc,Real Estate,8.04,86.06,18.45,3.51,0.6334,2.5,66.86,93.97,Health Care REITs,"Chicago, Illinois"
VRSN,Verisign Inc.,Information Technology,22.22,62.67,29.54,1.86,1.83,6.45,55.91,76.8,Internet Software & Services,"Dulles, Virginia"
VRSK,Verisk Analytics,Industrials,8.56,83.66,-11.65,3.42,0.74474,7.54,74.01,91.99,Research & Consulting Services,"Jersey City, New Jersey"
VZ,Verizon Communications,Telecommunication Services,13.61,81.84,7.98,3.46,0.9372,6.91,74.9,87.4,Integrated Telecommunication Services,"New York, New York"
VRTX,Vertex Pharmaceuticals Inc,Health Care,201.55,49.44,5.53,3.21,43.39,1.62,46.01,56.95,Biotechnology,"Cambridge, Massachusetts"
VIAB,Viacom Inc.,Consumer Discretionary,22.69,91.32,4.66,-0.46,0.0634,13.27,71.46,103.73,Cable & Satellite,"New York, New York"
V,Visa Inc.,Information Technology,17.04,42.93,11.23,3.48,2.86,1.32,33.94,46.69,Internet Software & Services,"San Francisco, California"
VNO,Vornado Realty Trust,Real Estate,206.98,89.06,11.2,2.58,11.01,12.94,69.58,89.3,Office REITs,"New York, New York"
VMC,Vulcan Materials,Materials,20.39,107.85,30.99,4.34,1.4,7.65,86.35,111.72,Construction Materials,"Birmingham, Alabama"
WMT,Wal-Mart Stores,Consumer Staples,15.67,118.37,34.55,3.09,0.94985,4.43,101.58,138.18,Hypermarkets & Super Centers,"Bentonville, Arkansas"
WBA,Walgreens Boots Alliance,Consumer Staples,214.15,69.87,25.38,4.38,32.84,0.44,62.72,75.19,Drug Retail,"Deerfield, Illinois"
DIS,The Walt Disney Company,Consumer Discretionary,92.82,85.99,27.17,3.78,7.89,0.79,75.74,88,Cable & Satellite,"Burbank, California"
WM,Waste Management Inc.,Industrials,31.97,72.7,12.06,2.65,3.71,2.36,56.05,73.65,Environmental & Facilities Services,"Houston, Texas"
WAT,Waters Corporation,Health Care,12.28,153.36,28.77,6.41,0.7273099999999999,5.67,126.61,162.53,Health Care Distributors,"Milford, Massachusetts"
WEC,Wec Energy Group Inc,Utilities,18.71,59.29,28.29,2.96,2.44,2.5,53.66,66.1,Electric Utilities,"Milwaukee, Wisconsin"
WFC,Wells Fargo,Financials,291.7,58.3,35.21,3.99,0,3.47,43.55,59.99,Diversified Banks,"San Francisco, California"
HCN,Welltower Inc.,Real Estate,24.83,68.49,38.06,2.81,2.11,5.94,59.39,80.19,Health Care REITs,"Toledo, Ohio"
WDC,Western Digital,Information Technology,22.12,76.8,37.26,-1.59,2.89,1.39,34.99,81.67,"Technology Hardware, Storage & Peripherals","Irvine, California"
WU,Western Union Co,Information Technology,9.57,19.9,1.87,0.51,1.37,1.76,18.07,22.7,Internet Software & Services,"Englewood, Colorado"
WRK,WestRock Company,Materials,12.79,50.9,38.02,0.54,2.16,0.93,31.05,56.12,Paper Packaging,"Richmond, Virginia"
WY,Weyerhaeuser Corp.,Real Estate,25.07,33.47,12.26,1.4,1.59,3.95,26.55,34.37,Specialized REITs,"Federal Way, Washington"
WHR,Whirlpool Corp.,Consumer Discretionary,13.06,175.38,64.1,11.5,2.18,0.63,145.91,194.1,Household Appliances,"Benton Harbor, Michigan"
WFM,Whole Foods Market,Consumer Staples,9.39,29.47,10.34,1.38,1.37,0.6,27.67,35.58,Food Retail,"Austin, Texas"
WMB,Williams Cos.,Energy,24.3,29.42,6.19,-0.57,3.43,3.29,14.6,32.69,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
WLTW,Willis Towers Watson,Financials,17.45,127.63,78.47,2.26,1.58,2.26,112.59,133.4,Insurance Brokers,"London, United Kingdom"
WYN,Wyndham Worldwide,Consumer Discretionary,8.63,82.19,6.76,5.53,1.31,1.68,62.6,86.72,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey"
WYNN,Wynn Resorts Ltd,Consumer Discretionary,10.11,99.46,1.55,2.38,0.95059,2.28,79.77,109.5,Casinos & Gaming,"Las Vegas, Nevada"
XEL,Xcel Energy Inc,Utilities,22.23,43.82,21.73,2.21,3.65,1.99,38,45.42,Multi-Utilities,"Minneapolis, Minnesota"
XRX,Xerox Corp.,Information Technology,7.48,7.36,4.74,-0.49,1.52,0.7,6.46,11.39,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut"
XLNX,Xilinx Inc,Information Technology,14.62,58.75,9.97,2.28,0.76713,6.33,41.53,62.24,Semiconductors,"San Jose, California"
XL,XL Capital,Financials,10.63,40.13,40.99,1.56,1.1,1,30.33,41.39,Property & Casualty Insurance,"Hamilton, Bermuda"
XYL,Xylem Inc.,Industrials,8.75,48.78,12.21,1.45,0.615,2.31,37.58,54.99,Industrial Machinery,"White Plains, New York"
YHOO,Yahoo Inc.,Information Technology,43.74,45.73,32.5,-0.23,0.2268,8.45,32.09,46.72,Internet Software & Services,"Sunnyvale, California"
YUM,Yum! Brands Inc,Consumer Discretionary,22.65,64.02,-15.93,4.04,1.96,3.59,59.57,91.99,Restaurants,"Louisville, Kentucky"
ZBH,Zimmer Biomet Holdings,Health Care,23.54,117.07,48.2,1.51,2.8,3.07,95.63,133.21,Health Care Equipment,"Warsaw, Indiana"
ZION,Zions Bancorp,Financials,9.17,45.28,34.1,1.99,0,4.01,23.02,48.33,Regional Banks,"Salt Lake City, Utah"
ZTS,Zoetis,Health Care,26.11,53.07,3.02,1.65,1.7,5.34,39.35,56.5,Pharmaceuticals,"Florham Park, New Jersey"
