Symbol,Security,Sector,Market Cap,Price,Book Value,Earnings/Share,EBITDA,Price/Sales,52 week low,52 week high,Sub Industry,Address of Headquarters
CI,CIGNA Corp.,Health Care,12.42,118.27,19.29,4.8,0.9832799999999999,2.45,85.86,122.21,Managed Health Care,"Philadelphia, Pennsylvania"
XEC,Cimarex Energy,Energy,171.27,34.2,12.74,1.94,14.67,3.53,25.81,34.53,Oil & Gas Exploration & Production,"Denver, Colorado"
CINF,Cincinnati Financial,Financials,167.63,60.5,74.26,4.72,0,2.65,38.31,61.94,Property & Casualty Insurance,"Fairfield, Ohio"
CTAS,Cintas Corporation,Industrials,19.33,37.97,38.09,1.97,0,3.99,18.34,39.75,Diversified Support Services,"Mason, Ohio"
CSCO,Cisco Systems,Information Technology,12.49,79.9,16.69,3.41,1.03,3.64,59.05,81.1,Communications Equipment,"San Jose, California"
C,Citigroup Inc.,Financials,41.97,123.56,60.14,4.53,2.45,11.72,89,127.6,Diversified Banks,"New York, New York"
CFG,Citizens Financial Group,Financials,12.42,44.44,15.23,1.98,2,1.94,38.78,46.25,Regional Banks,"Providence, Rhode Island"
CTXS,Citrix Systems,Information Technology,10.61,37.82,10.02,1.82,0.8989,2.35,34.07,43.71,Internet Software & Services,"Fort Lauderdale, Florida"
CLX,The Clorox Company,Consumer Staples,180.28,41.99,5.38,1.49,11.53,4.33,39.88,47.13,Household Products,"Oakland, California"
CME,CME Group Inc.,Financials,35.2,57.84,17.65,2.55,2.67,2.65,45.44,63.23,Financial Exchanges & Data,"Chicago, Illinois"
CMS,CMS Energy,Utilities,65.08,73.72,-0.28,2.72,4.42,4.29,63.43,75.38,Multi-Utilities,"Jackson, Michigan"
COH,Coach Inc.,Consumer Discretionary,177.45,37.42,11.38,1.78,26.48,2.21,29.03,38.44,"Apparel, Accessories & Luxury Goods","New York, New York"
KO,Coca-Cola Company (The),Consumer Staples,12.77,72.63,44.47,2.68,0,4.95,35.58,75,Soft Drinks,"Atlanta, Georgia"
CTSH,Cognizant Technology Solutions,Information Technology,17.73,40.75,10.22,1.42,1.83,1.6,33.61,48.86,IT Consulting & Other Services,"Teaneck, New Jersey"
CL,Colgate-Palmolive,Consumer Staples,19.35,133.54,52.61,-10.85,0.5718099999999999,11.88,94.26,147.55,Household Products,"New York, New York"
CMCSA,Comcast Corp.,Consumer Discretionary,58.97,47.72,28.27,-2.91,4.86,2.5,38.19,53.17,Cable & Satellite,"Philadelphia, Pennsylvania"
CMA,Comerica Inc.,Financials,23.38,76.64,46.88,4.12,3.69,1.94,68.76,81.88,Diversified Banks,"Dallas, Texas"
CAG,Conagra Brands,Consumer Staples,30.82,157.21,35.26,6.46,2.4,4.27,139.11,173.55,Packaged Foods & Meats,"Chicago, Illinois"
CXO,Concho Resources,Energy,25.73,27.72,16.84,3.23,2.56,2.74,18.21,28.36,Oil & Gas Exploration & Production,"Midland, Texas"
COP,ConocoPhillips,Energy,73.3,167,28.34,5.42,5.03,0.6,138.57,178.71,Oil & Gas Exploration & Production,"Houston, Texas"
ED,Consolidated Edison,Utilities,14.05,18.8,13.11,-0.03,0.8432999999999999,2.62,17.94,31.6,Electric Utilities,"New York, New York"
STZ,Constellation Brands,Consumer Staples,32.99,91.5,20.96,0.95,2.07,8.46,79.38,102.82,Distillers & Vintners,"Victor, New York"
COO,The Cooper Companies,Health Care,4.65,28.5,1.87,1.18,0.7455700000000001,0.93,21.95,33.54,Health Care Supplies,"Pleasanton, California"
GLW,Corning Inc.,Information Technology,44.88,48.44,12.58,1.81,4.69,4.17,24.36,50.31,Electronic Components,"Corning, New York"
COST,Costco Wholesale Corp.,Consumer Staples,25.48,152.1,41.04,8.23,2.31,1.46,100.43,154.67,Hypermarkets & Super Centers,"Issaquah, Washington"
COTY,"Coty, Inc",Consumer Staples,85.74,80.81,34.71,4.91,13.05,0.48,69.3,106.67,Personal Products,"New York, NY"
CCI,Crown Castle International Corp.,Real Estate,12.27,32.85,18.7,2.49,1.52,0.96,26.69,34.56,Specialized REITs,"Houston, Texas"
CSRA,CSRA Inc.,Information Technology,59.67,86.07,33.23,3.65,4.12,3.54,75.71,102.79,IT Consulting & Other Services,"Falls Church, Virginia"
CSX,CSX Corp.,Industrials,9.25,74.51,14.93,3.41,0.9302,1.33,59.5,79.43,Railroads,"Jacksonville, Florida"
